parsed 199 fresh batch updates, 199 with probe fields

  ep grad  tfrac  p(dep) adv_dep_raw adv_non_raw    G_dep self_n teach_n
   1    2  0.734  0.0216        None    +12.6298     None      0       0
   2    4  0.578  0.0258    +13.0034    +18.5101 +15.4540      2       0
   3    7  0.688  0.0205    +58.2535    +38.9712 +64.3408      1       0
   4    9  0.703  0.0202        None    +47.9815     None      0       0
   5   11  0.703  0.0210        None    +45.8631     None      0       0
   6   14  0.719  0.0203        None    +28.8281     None      0       0
   7   16  0.688  0.0223     +3.0362    +22.5298 +12.9086      1       0
   8   18  0.594  0.0239        None    +23.2046     None      0       0
   9   20  0.719  0.0261        None     +9.1008 +25.7963      0      11
  10   23  0.609  0.0298        None     +5.9212     None      0       0
  11   25  0.672  0.0337        None     +3.1616     None      0       0
  12   27  0.594  0.0385        None     +2.1583     None      0       0
  13   29  0.578  0.0419     +2.7309     +1.9831 +13.8867      2       2
  14   32  0.562  0.0471     +1.2310     +2.2878 +11.9002      2       0
  15   34  0.688  0.0504        None     -0.5786     None      0       0
  16   36  0.578  0.0498     -1.0348     -0.4253  +8.6859      1       9
  17   39  0.641  0.0492     -0.8828     -1.2330  +9.1789      1       0
  18   41  0.562  0.0461     +0.9520     +0.6548 +10.4482      2       0
  19   43  0.656  0.0448     +0.9767     +0.8101 +10.0817      1       4
  20   45  0.312  0.0452     -0.4661     -0.3378  +7.9830      2       4
  21   47  0.578  0.0472        None     -0.2331  +7.5879      0       4
  22   49  0.641  0.0518        None     +0.8234  +7.7059      0       1
  23   52  0.688  0.0589     +2.1474     +2.0519  +7.9334      1       0
  24   53  0.453  0.0621        None     +0.1880  +8.3626      0       4
  25   55  0.516  0.0711     +2.7884     +1.6774  +7.8555      1       7
  26   57  0.516  0.0803     +2.6269     +2.3155  +8.3363      1       5
  27   60  0.609  0.0930     +1.5244     +1.6962  +6.3190      2       0
  28   62  0.562  0.1032     +0.4900     +1.4841  +5.3810      2       0
  29   64  0.500  0.1126     +0.3643     +0.6965  +5.3446      4       0
  30   66  0.547  0.1145     -0.7886     -0.9665  +4.2309      2       0
  31   68  0.656  0.1140        None     +0.7157  +5.9089      0      12
  32   71  0.766  0.1149     -0.4991     -0.6415  +3.3015      1      15
  33   73  0.641  0.1265     -0.8069     -0.6862  +3.3183      2       0
  34   75  0.594  0.1338     +1.4041     +1.3392  +5.1207      4       0
  35   78  0.672  0.1427     +1.4599     +1.0338  +4.7971      3       0
  36   80  0.625  0.1584     +2.6556     +2.2851  +6.0191      2       0
  37   82  0.531  0.1777     +2.5793     +2.1000  +5.9445      5       0
  38   85  0.609  0.2076     +0.6735     +0.6494  +4.1436      7       0
  39   87  0.672  0.2291     +0.6346     +0.4800  +4.3164      6       0
  40   89  0.656  0.2551     -0.0427     +0.0499  +3.7817      7       0
  41   91  0.625  0.2032     +0.6553     +0.6993  +4.4688      5       0
  42   94  0.625  0.1382     +1.2195     +0.9147  +5.0522      5       0
  43   95  0.578  0.1236     +0.6754     +0.8889  +5.1656      3      13
  44   97  0.531  0.1024     +1.2220     +1.1802  +5.4571      4       5
  45  100  0.562  0.0819     +1.7793     +1.4783  +6.3317      3       0
  46  102  0.547  0.0743     +0.2346     -0.2902  +5.0398      2       0
  47  104  0.672  0.0741     +0.9405     +0.6850  +5.7109      1       0
  48  106  0.594  0.0745        None     +0.6259     None      0       0
  49  109  0.469  0.0760     -0.5080     -0.2035  +4.2593      3       0
  50  111  0.641  0.0655     +1.8586     +1.5240  +6.4774      3       0
  51  113  0.547  0.0599     +2.2974     +2.6806  +6.7894      1       0
  52  116  0.578  0.0550     -0.1528     -0.1357  +4.2702      3       0
  53  118  0.594  0.0517     +5.9570     +3.6585 +10.2236      1       0
  54  120  0.453  0.0501     +4.3087    +24.0845  +8.5944      2       0
  55  122  0.641  0.0507    +51.5712    +41.7149 +46.9909      1       9
  56  124  0.516  0.0526        None    +58.6460     None      0       0
